dataset,subject_id,model,seed,protocol,epoch,train_loss,val_score,best_epoch,epochs_completed,is_best_epoch
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,16,0.15893245115876198,0.045825581935544805,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,17,0.10664561949670315,0.053562311800972866,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,18,0.12349861394613981,0.08108817688189447,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,19,0.07930080126971006,0.08769329250790178,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,20,0.08688443619757891,0.08578812694177032,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,21,0.08013873593881726,0.08063744827328871,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,22,0.12779888603836298,0.09952395151679715,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,23,0.10279042832553387,0.07172825774177909,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,24,0.1177143850363791,0.07272839453071356,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,25,0.10114940162748098,0.030114262054363888,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,26,0.10995631106197834,0.06345154779652755,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,27,0.08359918557107449,0.11454567350447178,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,28,0.08459366578608751,0.10940670277923345,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,29,0.001954129431396723,0.1053453949765147,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,30,-0.026553950738161802,0.07967898097510138,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,31,0.06386002618819475,0.10697015925931434,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,32,0.10498520452529192,0.11576992310583592,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,33,0.09585200063884258,0.048173680591086544,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,34,0.12029937468469143,0.07884316202253103,37,47,False
