dataset,subject_id,model,seed,action,status,job_dir,checkpoint_id,subject_metric,num_recordings,error,source_protocol
weissbart_tf64,P05,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P05/cca/seed_0,cca_nc_4,0.09124425320427514,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P05,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P05/fcnn/seed_0,fcnn_epoch_1,0.06978308367439218,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P05,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P05/adt/seed_0,adt_epoch_12,0.10389705364696104,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P05,dnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P05/dnn/seed_0,dnn_epoch_1,0.06978313146330399,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P05,cnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P05/cnn/seed_0,cnn_epoch_2,0.11631922498328137,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P05,eegnet,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P05/eegnet/seed_0,eegnet_epoch_7,0.13498359765850224,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P06,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P06/ridge/seed_0,ridge_alpha_10.0,0.06673353980209834,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P06,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P06/cca/seed_0,cca_nc_1,0.04920611017410582,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P06,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P06/fcnn/seed_0,fcnn_epoch_6,0.0022999500064735407,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P06,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P06/adt/seed_0,adt_epoch_2,0.11759718002086622,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P06,dnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P06/dnn/seed_0,dnn_epoch_6,0.0020317051401170516,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P06,cnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P06/cnn/seed_0,cnn_epoch_4,0.06586882154656479,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P06,eegnet,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P06/eegnet/seed_0,eegnet_epoch_48,0.07786007898250835,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P07,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/ridge/seed_0,ridge_alpha_10.0,0.13858419702944305,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P07,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/cca/seed_0,cca_nc_2,0.11135284179342281,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P07,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/fcnn/seed_0,fcnn_epoch_1,0.1261473819149195,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P07,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/adt/seed_0,adt_epoch_1,0.11841530013922809,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P07,dnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/dnn/seed_0,dnn_epoch_1,0.1261473752590004,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P07,cnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/cnn/seed_0,cnn_epoch_0,0.13158945649228865,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P07,eegnet,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/eegnet/seed_0,eegnet_epoch_4,0.14121259408896025,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P08,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/ridge/seed_0,ridge_alpha_100.0,0.10332106633028906,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P08,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/cca/seed_0,cca_nc_4,0.10176183935137799,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P08,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/fcnn/seed_0,fcnn_epoch_1,0.08469970304270623,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P08,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/adt/seed_0,adt_epoch_29,0.06968193262957317,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P08,dnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/dnn/seed_0,dnn_epoch_1,0.08469970102109593,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P08,cnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/cnn/seed_0,cnn_epoch_10,0.11240072782455354,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P08,eegnet,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/eegnet/seed_0,eegnet_epoch_4,0.13751796289052148,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P09,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P09/ridge/seed_0,ridge_alpha_10.0,0.14148315889106838,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P09,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P09/cca/seed_0,cca_nc_4,0.1166026776245573,15,,gate0_gate2_full_subject_single_seed_v1
