dataset,model,seed,n_subjects,mean_pearson,std_pearson,median_pearson,min_pearson,max_pearson,fisher_z_mean,backtransformed_mean_r
weissbart_tf64,cnn,42,13,0.115929565655191,0.03869566822795757,0.11917892528606157,0.041635683105181606,0.19984958353536159,0.11663300120266672,0.11610700025231861
weissbart_tf64,cnn,2026,13,0.13052704615581795,0.03209614397736347,0.12743782633895737,0.07300263751415897,0.20247473732909127,0.13141978579351837,0.1306683856675049
weissbart_tf64,dnn,0,13,0.09177099322466188,0.03922820680024663,0.09301722353610266,0.0020317051401170516,0.17704274109017717,0.0921719899341111,0.0919118528020744
weissbart_tf64,dnn,42,13,0.0930326457839123,0.040670815537742974,0.10279343135809754,0.0027582539276648876,0.1791085501660175,0.09345666058339207,0.09318551973442016
weissbart_tf64,dnn,2026,13,0.09624560791037304,0.03540204231882128,0.09903246753512833,0.015696717908468605,0.155356818919451,0.09666121437072882,0.09636128743502369
weissbart_tf64,eegnet,0,13,0.14598709548030803,0.03385397535683834,0.14839113678460514,0.07786007898250835,0.21059654682046705,0.1472088220799173,0.1461545994742422
weissbart_tf64,eegnet,42,13,0.1392591880724037,0.03528800497665172,0.1427964886698971,0.07212040968978266,0.2140838968167133,0.14035370948631853,0.1394392971713874
weissbart_tf64,eegnet,2026,13,0.14141172105734662,0.03307479066375994,0.14853459269931085,0.07416579488890522,0.20079475217462234,0.14252252721374856,0.14156529961122996
weissbart_tf64,fcnn,0,13,0.09186149498076686,0.03913556703621983,0.09301722644919923,0.0022999500064735407,0.17704273413877203,0.09226280140390958,0.09200189636395614
weissbart_tf64,fcnn,42,13,0.09069164253440018,0.04178746850232008,0.1027934334669891,0.00261080492535098,0.17910841032020988,0.09110315112654438,0.09085193959774783
weissbart_tf64,fcnn,2026,13,0.0970359091623331,0.03482539622282805,0.0990324419127542,0.014364226850250643,0.1553552080151553,0.09745524216054946,0.09714788193117516
weissbart_tf64,ridge,0,13,0.13318080735374047,0.02944324137936911,0.14148315889106838,0.06673353980209834,0.17372779956779152,0.13408715561156645,0.1332892924987115
weissbart_tf64,ridge,42,13,0.13318080735374047,0.02944324137936911,0.14148315889106838,0.06673353980209834,0.17372779956779152,0.13408715561156645,0.1332892924987115
weissbart_tf64,ridge,2026,13,0.13318080735374047,0.02944324137936911,0.14148315889106838,0.06673353980209834,0.17372779956779152,0.13408715561156645,0.1332892924987115
