source_dataset,target_dataset,model,task,protocol,seed,stage,subject_id,metric_name,metric_value,num_recordings,checkpoint_id,artifact_scope
weissbart_tf64,etard_tf64,adt,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P17,mean_recording_pearson_r,0.022772748129162176,40,adt_pooled10_epoch_12,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
etard_tf64,weissbart_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P01,mean_recording_pearson_r,0.053103836304515435,15,fcnn_epoch_10,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
etard_tf64,weissbart_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P05,mean_recording_pearson_r,-0.0020310176893113333,15,fcnn_epoch_10,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
etard_tf64,weissbart_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P08,mean_recording_pearson_r,0.07271934369139199,15,fcnn_epoch_10,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
etard_tf64,weissbart_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P01,mean_recording_pearson_r,0.08985389463069778,15,fcnn_pooled10_epoch_11,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
etard_tf64,weissbart_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P05,mean_recording_pearson_r,0.04346118195082452,15,fcnn_pooled10_epoch_11,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
etard_tf64,weissbart_tf64,fcnn,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P08,mean_recording_pearson_r,0.0970198729924053,15,fcnn_pooled10_epoch_11,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
etard_tf64,weissbart_tf64,adt,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P01,mean_recording_pearson_r,0.05781126010088434,15,adt_epoch_2,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
etard_tf64,weissbart_tf64,adt,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P05,mean_recording_pearson_r,0.050567112234642615,15,adt_epoch_2,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
etard_tf64,weissbart_tf64,adt,reconstruction,gate0_gate2_cross_dataset_transfer_v1::cross_dataset_zero_shot_eval,0,cross_dataset_zero_shot_eval,P08,mean_recording_pearson_r,0.06660958520370573,15,adt_epoch_2,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::cross_dataset_zero_shot_eval
etard_tf64,weissbart_tf64,adt,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P01,mean_recording_pearson_r,0.07765075596954898,15,adt_pooled10_epoch_4,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
etard_tf64,weissbart_tf64,adt,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P05,mean_recording_pearson_r,0.08634493590353115,15,adt_pooled10_epoch_4,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
etard_tf64,weissbart_tf64,adt,reconstruction,gate0_gate2_cross_dataset_transfer_v1::pooled10_target_calibration,0,pooled10_target_calibration,P08,mean_recording_pearson_r,0.0977047769335664,15,adt_pooled10_epoch_4,cross_dataset_transfer_zero_shot_plus_pooled10_target_calibration_v1::pooled10_target_calibration
