dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope,recording_length,coverage_ratio,dropped_samples_reason,full_eval_not_capped,model_family_contract
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P02,test_-_P02_-_BROP03,64,pearson_r,0.27553056748359006,640,happyquokka_epoch_34,subject_specific_local_models_weissbart_full,1049,0.6101048617731173,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P02,test_-_P02_-_FLOP01,64,pearson_r,0.09868581126403646,640,happyquokka_epoch_34,subject_specific_local_models_weissbart_full,828,0.7729468599033816,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P02,test_-_P02_-_FLOP02,64,pearson_r,0.00829996412585101,640,happyquokka_epoch_34,subject_specific_local_models_weissbart_full,748,0.8556149732620321,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P02,test_-_P02_-_FLOP03,64,pearson_r,0.06579318300723266,640,happyquokka_epoch_34,subject_specific_local_models_weissbart_full,704,0.9090909090909091,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P02,test_-_P02_-_FLOP04,64,pearson_r,-0.009092029981082748,640,happyquokka_epoch_34,subject_specific_local_models_weissbart_full,1262,0.5071315372424723,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P03,test_-_P03_-_AUNP01,64,pearson_r,0.012703037927586437,990,linear_ols,subject_specific_local_models_weissbart_full,1039,0.9528392685274302,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P03,test_-_P03_-_AUNP02,64,pearson_r,0.14940829074289774,970,linear_ols,subject_specific_local_models_weissbart_full,1019,0.9519136408243376,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P03,test_-_P03_-_AUNP03,64,pearson_r,0.16452205646090434,890,linear_ols,subject_specific_local_models_weissbart_full,939,0.9478168264110756,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P03,test_-_P03_-_AUNP04,64,pearson_r,0.11595903171064441,870,linear_ols,subject_specific_local_models_weissbart_full,919,0.9466811751904244,"lag range [0, 50) trims edges",True,lag_matrix_trf
weissbart_tf64,linear,reconstruction,gate0_gate2_subject_specific_local_models_weissbart_full_v1,0,P03,test_-_P03_-_AUNP05,64,pearson_r,0.07147909093882114,1191,linear_ols,subject_specific_local_models_weissbart_full,1240,0.9604838709677419,"lag range [0, 50) trims edges",True,lag_matrix_trf
