dataset,subject_id,model,seed,action,status,job_dir,checkpoint_id,subject_metric,num_recordings,error,source_protocol
weissbart_tf64,P12,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P12/ridge/seed_0,ridge_alpha_10.0,0.17372779956779152,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P12,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P12/cca/seed_0,cca_nc_2,0.1363743607291315,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P12,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P12/fcnn/seed_0,fcnn_epoch_1,0.17704273413877203,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P12,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P12/adt/seed_0,adt_epoch_3,0.20441027148312615,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P00,ridge,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P00/ridge/seed_42,ridge_alpha_100.0,0.13254733446979064,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P00,cca,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P00/cca/seed_42,cca_nc_2,0.06411140220705791,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P00,fcnn,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P00/fcnn/seed_42,fcnn_epoch_12,0.05737855751060155,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P00,adt,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P00/adt/seed_42,adt_epoch_6,0.16151028554816366,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P01,ridge,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P01/ridge/seed_42,ridge_alpha_1.0,0.08419014163262838,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P01,cca,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P01/cca/seed_42,cca_nc_4,0.09495414914277106,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P01,fcnn,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P01/fcnn/seed_42,fcnn_epoch_6,0.07113115167909066,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P01,adt,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P01/adt/seed_42,adt_epoch_9,0.07370236670586854,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P02,ridge,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P02/ridge/seed_42,ridge_alpha_100.0,0.1461383795288638,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P02,cca,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P02/cca/seed_42,cca_nc_4,0.04335437285897882,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P02,fcnn,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P02/fcnn/seed_42,fcnn_epoch_3,0.11458896569910054,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P02,adt,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P02/adt/seed_42,adt_epoch_12,0.142945988064525,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P03,ridge,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P03/ridge/seed_42,ridge_alpha_100.0,0.15328675079009205,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P03,cca,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P03/cca/seed_42,cca_nc_4,0.09235633099448197,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P03,fcnn,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P03/fcnn/seed_42,fcnn_epoch_2,0.13286296021175023,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P03,adt,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P03/adt/seed_42,adt_epoch_1,0.15161635786511152,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P04,ridge,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P04/ridge/seed_42,ridge_alpha_100.0,0.15641946834537293,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P04,cca,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P04/cca/seed_42,cca_nc_4,0.07927436820213123,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P04,fcnn,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P04/fcnn/seed_42,fcnn_epoch_2,0.08493477592500125,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P04,adt,42,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P04/adt/seed_42,adt_epoch_3,0.08221304040818346,15,,gate0_gate2_full_subject_single_seed_v1
