dataset,subject_id,model,seed,fingerprint,action,status,job_dir,checkpoint_id,subject_metric,num_recordings,error
weissbart_tf64,P09,cca,0,4258ddafca9a2a068b1fc6343bf75976756061d4,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P09/cca/seed_0,cca_nc_4,0.1166026776245573,15,
weissbart_tf64,P09,fcnn,0,3548987224b59097be1997c4077a9513d28a18cf,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P09/fcnn/seed_0,fcnn_epoch_2,0.11950139632887627,15,
weissbart_tf64,P09,adt,0,70581757534e3f3613daf34f433651580c356356,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P09/adt/seed_0,adt_epoch_2,0.17893387249741985,15,
weissbart_tf64,P10,ridge,0,ebbb65e55c46f9c9885fd4fc121b23c74f7003fa,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P10/ridge/seed_0,ridge_alpha_100.0,0.13112665731121304,15,
weissbart_tf64,P10,cca,0,0832ba8acef313af17622ee00d2420205be05158,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P10/cca/seed_0,cca_nc_4,0.09218244704746066,15,
weissbart_tf64,P10,fcnn,0,6868906ae09b58630ceea6db64e6e82acbf85769,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P10/fcnn/seed_0,fcnn_epoch_2,0.06012010503899434,15,
weissbart_tf64,P10,adt,0,09b7d6a58400c9d310e29c5942df73efd4fbecc7,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P10/adt/seed_0,adt_epoch_7,0.0956011076730103,15,
weissbart_tf64,P11,ridge,0,f82ae79287da75ca7ff02e44467d60f4afbdb1cd,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P11/ridge/seed_0,ridge_alpha_10.0,0.1506067789566798,15,
weissbart_tf64,P11,cca,0,5602b856842aaa47a7a7b7d2d10084fd6d3de40f,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P11/cca/seed_0,cca_nc_4,0.08922455910492093,15,
weissbart_tf64,P11,fcnn,0,d105e05f7170faf416417398070f441f8ca87dbb,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P11/fcnn/seed_0,fcnn_epoch_1,0.09074733462673669,15,
weissbart_tf64,P11,adt,0,1b2064ad477c57e26b9059b45d180c258ddcc088,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P11/adt/seed_0,adt_epoch_2,0.1626934130193955,15,
weissbart_tf64,P12,ridge,0,f77d1ac4fd11bcc6ab4d1f3bd815de0b93eaeff6,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P12/ridge/seed_0,ridge_alpha_10.0,0.17372779956779152,15,
weissbart_tf64,P12,cca,0,ba45612d3f733058949a30c97bba48d80f5dc672,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P12/cca/seed_0,cca_nc_2,0.1363743607291315,15,
weissbart_tf64,P12,fcnn,0,e9cd65f5973c5d2cb42ddd91800c15fa6a994755,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P12/fcnn/seed_0,fcnn_epoch_1,0.17704273413877203,15,
weissbart_tf64,P12,adt,0,effa1bc3e741726d6c52c30f55358fa72fd8577c,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P12/adt/seed_0,adt_epoch_3,0.20441027148312615,15,
etard_tf64,P00,ridge,0,1dfdf5b7ec754269a57bb8756dae1f6edbffdc4b,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P00/ridge/seed_0,ridge_alpha_10.0,0.08856015451578379,24,
etard_tf64,P00,cca,0,b263427bd696fc8f243214fd73a63d4aca53226a,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P00/cca/seed_0,cca_nc_1,0.06378096758274915,24,
etard_tf64,P00,fcnn,0,d0cbd62b1a7b09fcab78865ced10055f22ea668d,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P00/fcnn/seed_0,fcnn_epoch_3,0.03089972592054757,24,
etard_tf64,P00,adt,0,16cff443ab2c1452c297c7107ea8aa3302d0648c,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P00/adt/seed_0,adt_epoch_2,0.09653654483556096,24,
etard_tf64,P01,ridge,0,7d08cb1e1d8eafc7ca2c60ca1af0cd24b1c7e8f5,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P01/ridge/seed_0,ridge_alpha_1.0,0.09348833170812972,24,
etard_tf64,P01,cca,0,3df45215eb93d2cd9c181f9b8b9664a85656c950,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P01/cca/seed_0,cca_nc_2,0.09750530042163968,24,
etard_tf64,P01,fcnn,0,93da2f61aae4d52acf99fd201739f68579488bbc,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P01/fcnn/seed_0,fcnn_epoch_4,0.05831217376563641,24,
etard_tf64,P01,adt,0,beca7a19439cb2c39ba9bf27caafb42fe6d2e124,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P01/adt/seed_0,adt_epoch_4,0.11405033885718106,24,
etard_tf64,P02,ridge,0,d0bc96c82aa617f5e8a3413df08cbf5eff6bc07b,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P02/ridge/seed_0,ridge_alpha_100.0,0.07709442757395554,40,
etard_tf64,P02,cca,0,71c22db39f608af7238d408af73ad003ad588820,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P02/cca/seed_0,cca_nc_4,0.06206988266056327,40,
etard_tf64,P02,fcnn,0,bfdd2293b38fe00970bdb065ce13cd9a24a24b8a,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P02/fcnn/seed_0,fcnn_epoch_0,0.058882610910616154,40,
etard_tf64,P02,adt,0,c5d9cc1cc62a4f78bafa0a643addb14beee08128,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P02/adt/seed_0,adt_epoch_8,0.06439682363379626,40,
etard_tf64,P03,ridge,0,b80caffb39b69471263fd6bca5203821ce06a677,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P03/ridge/seed_0,ridge_alpha_10.0,0.10405487391784017,24,
etard_tf64,P03,cca,0,97d214fcb093456d3924a06ca13f5549befab382,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P03/cca/seed_0,cca_nc_2,0.07301375262520356,24,
etard_tf64,P03,fcnn,0,5b9f8ed7e8a0606841adca2b2681a88bdb8c94ee,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P03/fcnn/seed_0,fcnn_epoch_4,0.06592539096571144,24,
etard_tf64,P03,adt,0,3c61116f2fde72fc31abd273f71d0eb0a8b335ed,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P03/adt/seed_0,adt_epoch_4,0.08146598680639984,24,
etard_tf64,P04,ridge,0,54bc9492e61751ba5672b5459ba77380880d267a,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P04/ridge/seed_0,ridge_alpha_10.0,0.175744230213875,24,
etard_tf64,P04,cca,0,ec2286bce6561f2abfd40e0f9c3f821703f8f602,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P04/cca/seed_0,cca_nc_1,0.10368267137331921,24,
etard_tf64,P04,fcnn,0,acf92bd9d4a477f0200a6bab291ec60f2e709722,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P04/fcnn/seed_0,fcnn_epoch_2,0.10726215165344466,24,
etard_tf64,P04,adt,0,d40c036d6428a45c21c19750a59eeb92cef1892d,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P04/adt/seed_0,adt_epoch_5,0.18624454274285965,24,
