dataset,subject_id,model,seed,recording_id,zero_lag_pearson,num_valid_samples,zero_lag_r,best_lag_samples,best_lag_r,lag_sign_convention,lag_sweep_policy,prediction_hash,target_hash,job_key
etard_tf64,P11,happyquokka,0,test_-_P11_-_lbDutch_part_4,0.0015955581765177648,640,0.0015955581765177648,-44,0.24804782440255874,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",b405db435464f54bc8c3ae42617b2fffda4044cacd5dcc10f624ecd7e458cc46,5336a1917d695c27ed6eee2f7c37a902168f579f2c45669af2027c026d1adce7,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_mbDutch_part_1,0.014838389161714769,640,0.014838389161714769,105,0.19550175293663616,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",870a16068cc74dc224856398e549217901c6a2666dc8a5c7f23a287f211c92e1,4105feb5cbab91b43c65a22d9d1ccf4acc359da9e95c683251488f722ae1d4a2,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_mbDutch_part_2,0.09300704787635704,640,0.09300704787635704,-42,0.2658155262716804,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",5b5d0b6174fc5a85cba957bfe55ab1c55a947220841b4b493c89aff1349e94d6,025a9a32cc5b2eb204e4d8f5c717701a0aceb8bbc2bb86233bf34310b637f752,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_mbDutch_part_3,0.008567049146216888,640,0.008567049146216888,67,0.2180236467714994,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",db65e7c328d6cd3c4d3c40ab846c4c457aa7c93a3d8101914a7e29c2fbf1cb0b,dd388314ae2fa5f13d269dad786abaa658f12bcf13966866338f94aa83ddd007,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_mbDutch_part_4,-0.017266781954562705,640,-0.017266781954562705,121,0.19625297920363677,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",a1f4b61701198b708a9ff22fcaf767fba08303f8da221bffc05afe7e6b2a708c,adab9f1c45dcd8fea07b28f4e27c0f7c3fa65243439e66158e6a79a16ca8183c,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_cleanDutch_part_1,-0.030076557788298475,941,-0.030076557788298475,42,0.13751611032681735,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",ec333198443bb7d86708a565f0be998b544b81541645237201a4a43d0c4acb58,88e6a28264300ef00afdd912e5af3dff04478e13425a8d4f239792873a590247,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_cleanDutch_part_2,-0.02138917129750501,963,-0.02138917129750501,52,0.15546129684787452,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",310e9bfeff922b70a0899204d8a368273fe11e7f13f281dedae2190134d873f9,2ca0668b3267c886531e9b1b7be1676aec298eb9fc712f4bf1ee08aed41dc7bf,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_cleanDutch_part_3,-0.007955038752476041,974,-0.007955038752476041,83,0.1584482333831683,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",c4320a3376c10720c01f39397a6c2d63eb25949ea30de87416d940fbd964b933,b9bfcd205870394b77bb8a3583f99410f4e559c78f881c33287c46e5e3b84600,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_cleanDutch_part_4,-0.06671555431725527,970,-0.06671555431725527,43,0.1769525644552107,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",3d084a21fea3b55d3faa5cb9a29a18dfe000d4dabb34a4505e2da535c5dba0ff,c162fdc724c69cc674fc99546d259d1345683d3b3c9a6a3c64577f56e2fb85e6,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_hbDutch_part_1,-0.05316942563831667,984,-0.05316942563831667,-34,0.21572195825709242,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",55e486aff541ab1bec8dd1835abb52fa864393370d5a786398831ff10331eb37,a02cb68fecf12e1d73e2d04dfa17c11539913a618638a32a7770c8f4c0e2c892,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_hbDutch_part_2,0.11824940664907167,998,0.11824940664907167,-5,0.19324852687390465,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",ccc9f1de6fb27972a518c6d2c07d656ee192c0108729762bc278945868c1fad5,4f73f90949303a9d0c3719b681489503fca2b2a386a0f97276e2f1c83be41b21,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_hbDutch_part_3,-0.03524759910823611,1017,-0.03524759910823611,64,0.2414669528476588,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",4a43f3a0bc65dd6a73e913c2dcea6a2a77802055cd76eed6192d0e9ca5cdda1c,987aba66d0b1d475e2641d9cbde8ebfca2a0a99e32bfd30bef7e4adc29687b9d,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_hbDutch_part_4,-0.011721226333878329,1001,-0.011721226333878329,-17,0.23044904980688455,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",eb820ad617e12135c6c3e39da8795c9c0ef124ab86b47025e0b1af42aa0c9066,53756cb8043e9954de0ac17b31569c23433c79ee59c64f313c08a7ceaffb45a0,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_lbDutch_part_1,-0.09300372599121384,1001,-0.09300372599121384,-95,0.22750729023398011,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",ccf5617dd4dcc007e170509a47dc4a85e624aedb12e62ca683a528fda8e29d72,d6de35df0c4d7adb9d904f1c254661b148f50c28f26251bccf774b80f706d16d,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_lbDutch_part_2,0.06976343727818628,1026,0.06976343727818628,-54,0.14148068479508993,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",938aa17ed7362817a962621479e0ec88c12af971674f59ebbd7365921ad50557,877ff0a2722d54ee0380e93b21a4da861f9909fac2e8f69154513b43155d538e,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_lbDutch_part_3,0.11873980779690624,991,0.11873980779690624,-128,0.13997461913000786,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",7ce754c7f6d1c886ae5cbcbcf75b1e0b16d1d434e7442fdbaad244e22266ba5d,9abe22327683b3b19588ca00c94869acd07ac491f71393f10a6d87b16c3f62d1,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_lbDutch_part_4,-0.05519031401882454,1011,-0.05519031401882454,100,0.17997948986342846,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",21e398fe947396262c4e06aca423ad118c3f023bfc695f047cc282822e882e00,09c270ebe11caf9286912006a4e8481a2cd795a4df2c9765acc0530f29a3a90e,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_mbDutch_part_1,-0.015334385049469932,1021,-0.015334385049469932,68,0.12328230827576288,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",0636e38b3605d7e9be872654f5974da89a66708ce7ee099c3e822bfab9293bb4,1fe7bdadb2eb17def8166865670c43408ca0da55e5eea935a7ded905e6e1005c,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_mbDutch_part_2,-0.06507050225138616,981,-0.06507050225138616,54,0.23207070956602902,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",1e4646b6c4a5cc9d14f9c5ab8b30d7239905c649d41e921bd11e0f9b1a562a02,97fd2cda5620ef8a35367949aaeb26f9e5ae015ddc91dfca5a098fff2b19ab19,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_mbDutch_part_3,0.10944284949103601,995,0.10944284949103601,-103,0.1311014782080189,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",a0e8e8f204a14d97a5a28fde734f4cd482ff9766c779e091ee32e6ad8708db81,56a32b9cdd0296eb38cb1d644e797b57c5eb707841915ecf38037c78abdc3fd8,etard_tf64:P11:elasticnet:seed0
etard_tf64,P11,elasticnet,0,test_-_P11_-_mbDutch_part_4,0.004544188226105672,1000,0.004544188226105672,-27,0.14061782178246487,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",d8c6f4544da5505c684b280c39700a6a1d2840457b5e5b99b2825232be3f413a,5f17f4ad33206987dadca057df8c4bcfc0326644384ae3ffa91e82c1d0d39a72,etard_tf64:P11:elasticnet:seed0
