dataset,subject_id,model,seed,test_recording_rows
etard_tf64,P08,fcnn,0,40
etard_tf64,P08,happyquokka,0,40
etard_tf64,P08,lasso,0,40
etard_tf64,P08,linear,0,40
etard_tf64,P08,ridge,0,40
etard_tf64,P08,vlaai,0,40
etard_tf64,P09,adt,0,40
etard_tf64,P09,cca,0,40
etard_tf64,P09,cnn,0,40
etard_tf64,P09,dnn,0,40
etard_tf64,P09,eegnet,0,40
etard_tf64,P09,elasticnet,0,40
etard_tf64,P09,fcnn,0,40
etard_tf64,P09,happyquokka,0,40
etard_tf64,P09,lasso,0,40
etard_tf64,P09,linear,0,40
etard_tf64,P09,ridge,0,40
etard_tf64,P09,vlaai,0,40
etard_tf64,P10,adt,0,40
etard_tf64,P10,cca,0,40
etard_tf64,P10,cnn,0,40
etard_tf64,P10,dnn,0,40
etard_tf64,P10,eegnet,0,40
etard_tf64,P10,elasticnet,0,40
etard_tf64,P10,fcnn,0,40
etard_tf64,P10,happyquokka,0,40
etard_tf64,P10,lasso,0,40
etard_tf64,P10,linear,0,40
etard_tf64,P10,ridge,0,40
etard_tf64,P10,vlaai,0,40
etard_tf64,P11,adt,0,16
etard_tf64,P11,cca,0,16
etard_tf64,P11,cnn,0,16
etard_tf64,P11,dnn,0,16
etard_tf64,P11,eegnet,0,16
etard_tf64,P11,elasticnet,0,16
etard_tf64,P11,fcnn,0,16
etard_tf64,P11,happyquokka,0,16
etard_tf64,P11,lasso,0,16
etard_tf64,P11,linear,0,16
etard_tf64,P11,ridge,0,16
etard_tf64,P11,vlaai,0,16
etard_tf64,P12,adt,0,16
etard_tf64,P12,cca,0,16
etard_tf64,P12,cnn,0,16
etard_tf64,P12,dnn,0,16
etard_tf64,P12,eegnet,0,16
etard_tf64,P12,elasticnet,0,16
etard_tf64,P12,fcnn,0,16
etard_tf64,P12,happyquokka,0,16
etard_tf64,P12,lasso,0,16
etard_tf64,P12,linear,0,16
etard_tf64,P12,ridge,0,16
etard_tf64,P12,vlaai,0,16
etard_tf64,P13,adt,0,40
etard_tf64,P13,cca,0,40
etard_tf64,P13,cnn,0,40
etard_tf64,P13,dnn,0,40
etard_tf64,P13,eegnet,0,40
etard_tf64,P13,elasticnet,0,40
etard_tf64,P13,fcnn,0,40
etard_tf64,P13,happyquokka,0,40
etard_tf64,P13,lasso,0,40
etard_tf64,P13,linear,0,40
etard_tf64,P13,ridge,0,40
etard_tf64,P13,vlaai,0,40
etard_tf64,P14,adt,0,40
etard_tf64,P14,cca,0,40
etard_tf64,P14,cnn,0,40
etard_tf64,P14,dnn,0,40
etard_tf64,P14,eegnet,0,40
etard_tf64,P14,elasticnet,0,40
etard_tf64,P14,fcnn,0,40
etard_tf64,P14,happyquokka,0,40
etard_tf64,P14,lasso,0,40
etard_tf64,P14,linear,0,40
etard_tf64,P14,ridge,0,40
etard_tf64,P14,vlaai,0,40
etard_tf64,P15,adt,0,40
etard_tf64,P15,cca,0,40
etard_tf64,P15,cnn,0,40
