dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope,recording_length,coverage_ratio,dropped_samples_reason,full_eval_not_capped,model_family_contract
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_BROP03,64,pearson_r,0.17548813515293962,1000,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,1049,0.9532888465204957,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_FLOP01,64,pearson_r,-0.1790900588415966,779,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,828,0.9408212560386473,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_FLOP02,64,pearson_r,-0.019515735512248614,699,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,748,0.9344919786096256,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_FLOP03,64,pearson_r,-0.04633851797790087,655,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,704,0.9303977272727273,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,vlaai,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_FLOP04,64,pearson_r,0.15392236882506444,1213,vlaai_epoch_1,subject_specific_vlaai_happyquokka_budget_validation,1262,0.9611727416798732,window_size=50 drops first 49 target positions,True,vlaai_local_adapter
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP01,64,pearson_r,0.31736846832269444,640,happyquokka_epoch_25,subject_specific_vlaai_happyquokka_budget_validation,1039,0.6159769008662175,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP02,64,pearson_r,0.4070724977057731,640,happyquokka_epoch_25,subject_specific_vlaai_happyquokka_budget_validation,1019,0.6280667320902846,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP03,64,pearson_r,0.13363209568055884,640,happyquokka_epoch_25,subject_specific_vlaai_happyquokka_budget_validation,939,0.6815761448349308,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP04,64,pearson_r,-0.15153524179235495,640,happyquokka_epoch_25,subject_specific_vlaai_happyquokka_budget_validation,919,0.6964091403699674,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP05,64,pearson_r,0.15856669397039172,640,happyquokka_epoch_25,subject_specific_vlaai_happyquokka_budget_validation,1240,0.5161290322580645,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP06,64,pearson_r,-0.032548462958284806,640,happyquokka_epoch_25,subject_specific_vlaai_happyquokka_budget_validation,943,0.6786850477200425,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP07,64,pearson_r,0.07014318799814305,640,happyquokka_epoch_25,subject_specific_vlaai_happyquokka_budget_validation,1183,0.5409974640743872,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_AUNP08,64,pearson_r,-0.09412113927754612,640,happyquokka_epoch_25,subject_specific_vlaai_happyquokka_budget_validation,1153,0.5550737207285342,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_BROP01,64,pearson_r,0.030720417786049017,640,happyquokka_epoch_25,subject_specific_vlaai_happyquokka_budget_validation,1066,0.600375234521576,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_BROP02,64,pearson_r,0.02474548290637976,640,happyquokka_epoch_25,subject_specific_vlaai_happyquokka_budget_validation,1169,0.5474764756201882,tail shorter than 10s chunk,True,10s_chunk
weissbart_tf64,happyquokka,reconstruction,gate0_gate2_vlaai_happyquokka_training_budget_p00_v1,0,P00,test_-_P00_-_BROP03,64,pearson_r,0.12982974873841657,640,happyquokka_epoch_25,subject_specific_vlaai_happyquokka_budget_validation,1049,0.6101048617731173,tail shorter than 10s chunk,True,10s_chunk
